Date,Open,High,Low,Close,Adj Close,Volume
2013-05-27,64.271431,65.300003,62.771427,64.247147,50.400158,363636000
2013-06-03,64.389999,64.918571,61.824287,63.115715,49.512577,444285100
2013-06-10,63.532856,64.154289,61.214287,61.435715,48.194675,389797800
2013-06-17,61.634285,62.242859,58.299999,59.071430,46.339951,400952300
2013-06-24,58.200001,58.380001,55.552856,56.647144,44.438164,519598800
2013-07-01,57.527142,60.470001,57.317142,59.631428,46.779251,343968100
2013-07-08,60.015713,61.398571,58.625713,60.930000,47.797943,384496000
2013-07-15,60.715714,62.124287,60.595715,60.707142,47.623127,286261500
2013-07-22,61.351429,63.512856,59.815716,62.998573,49.420692,399693700
2013-07-29,62.971428,66.121429,62.885715,66.077141,51.835732,340368000
2013-08-05,66.384285,67.412857,64.807144,64.921425,50.929115,368803400
2013-08-12,65.265717,72.035713,65.232857,71.761429,59.004147,713836900
2013-08-19,72.048569,73.391426,71.171425,71.574287,58.850273,418006400
2013-08-26,71.535713,72.885712,69.428574,69.602859,57.229309,393679300
2013-09-02,70.442856,71.748573,69.621429,71.174286,58.521381,318213700
2013-09-09,72.142860,72.559998,66.385712,66.414284,54.607578,671366500
2013-09-16,65.857140,68.364288,63.888573,66.772858,54.902412,625948400
2013-09-23,70.871429,70.987144,68.674286,68.964287,56.704269,477167600
2013-09-30,68.178574,70.335716,67.772858,69.004288,56.737148,371211400
2013-10-07,69.508568,70.548569,68.325714,70.401428,57.885921,362819100
2013-10-14,69.975716,72.751427,69.907143,72.698570,59.774693,344302000
2013-10-21,73.110001,76.175713,72.575714,75.137146,61.779747,492112600
2013-10-28,75.577141,77.035713,73.505714,74.290001,61.083210,522749500
2013-11-04,74.442856,75.555717,73.197144,74.365715,61.145454,318788400
2013-11-11,74.284286,75.611427,73.487144,74.998573,64.277519,307322400
2013-11-18,74.998573,75.312859,73.381432,74.257141,63.642082,283388000
2013-11-25,74.431427,79.761429,74.428574,79.438568,68.082802,328067600
2013-12-02,79.714287,82.162857,78.688568,80.002853,68.566452,523313700
2013-12-09,80.128571,81.567146,79.095711,79.204285,67.882027,388398500
2013-12-16,79.288574,80.377144,76.971428,78.431427,67.219650,458770200
2013-12-23,81.142860,81.697144,79.928574,80.012856,68.574997,274688400
2013-12-30,79.637146,80.182854,77.204285,77.282860,66.235268,275966600
